date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2026-03-06,1.7,0.13,0.35,-1,,-5,98,92.2,85,72,1.4,-1,-0.9,-3.3,14,9.21,8.5,3,,,102.59,102.24,102,101.41,100.42,100.08,99.84,99.27,24100,6675,12150,200,5.1,3,3.7,2.3,17.6,0,0,0,0,1.9,,,,06:46:00,1772797560,6.77,18:12:00,1772838720,18.2,11.43,4,4,4,4,3,6,,,,,,8,6.5,6,4,,,,
2026-03-05,4.8,1.99,1.85,-1.1,,-5,89,73,66,43,0.3,-2.5,-3.5,-7.3,24,12.54,13,2,31,10,102.4,102.24,102.26,102.13,100.25,100.09,100.12,99.98,24100,19900,18500,12900,6.4,4,4.5,2.7,16.1,0,0,0,0,1.6,,,,06:48:00,1772711280,6.8,18:11:00,1772752260,18.18,11.38,2,3,3,5,0,1,,,,,,8,7.2,6.5,5,,,,
2026-03-04,7.4,2.25,2.2,-3,,-8,89,63,60.5,32,-2.3,-4.8,-6,-9.6,15,7.21,7.5,0,,,102.62,102.4,102.41,102.2,100.46,100.24,100.26,100.05,24100,19300,18500,12900,7.2,5.2,4.6,2,15.8,0,0,0,0,0,,,,06:50:00,1772625000,6.83,18:10:00,1772665800,18.17,11.33,3,4,5,7,-4,-1,,,,,,6,2,3,0,,,,
2026-03-03,2.6,-1.97,-2.8,-8.2,,-12,81,74.5,67,53,-2.5,-6,-7.1,-11.7,14,7.08,8.5,3,,,103.01,102.52,102.59,102.16,100.81,100.34,100.4,99.99,24100,21900,20100,16100,6.6,4.1,4.5,2.5,20.8,0,0,0,0,0,,,,06:51:00,1772538660,6.85,18:09:00,1772579340,18.15,11.3,4,4,2,2,-4,-4,,,,,,8,4.8,4,0,,,,
2026-03-02,-4.4,-8.32,-9.4,-14.4,,-19,74,56.1,58,42,-8.6,-15.8,-14.3,-20,13,7.42,6.5,0,,,103.98,103.6,103.55,103.12,101.73,101.37,101.33,100.92,24100,24100,24100,24100,6.1,3.5,3.5,1,27.4,0,0,0,0,0,0,0,3,06:53:00,1772452380,6.88,18:07:00,1772492820,18.12,11.23,3,3,-5,-5,-9,-8,,,,,,1,0.2,0.5,0,,,,
2026-03-01,-6,-8.88,-9.5,-13,,-19,68,57.3,53,38,-11.3,-16,-15.3,-19.3,27,18.25,17,7,37,34,103.69,103.19,103.11,102.52,101.45,100.98,100.89,100.34,24100,23900,21700,19300,4.5,2.9,3.2,2,27.5,0,0,0,0,0,0,0,3,06:55:00,1772366100,6.92,18:06:00,1772406360,18.1,11.18,3,3,-7,-6,-19,-18,,,,,,8,2.1,4,0,,,,
2026-02-28,6.9,0.38,0.05,-6.8,,-14,83,64.9,69.5,56,1.8,-5.6,-4.5,-10.8,36,25.71,25,14,50,30,102.54,101.63,101.53,100.53,100.36,99.5,99.4,98.44,24100,21387.5,13250,2400,5.2,2.9,3.1,1,17.9,0,0,0,0,0.8,0,1,2,06:56:00,1772279760,6.93,18:05:00,1772319900,18.08,11.15,3,3,2,3,-10,-10,,,,,,8,6.1,5.5,3,,,,
2026-02-27,7.3,1.1,0.6,-6.1,,-10,76,66.5,65.5,55,0,-4.5,-5,-10,23,11.17,13.5,4,42,20,101.54,101.31,101.17,100.79,99.38,99.16,99.03,98.69,24100,23700,21700,19300,5.5,3.8,3.2,1,17.4,0,0,0,0,0,0,0,8,06:58:00,1772193480,6.97,18:03:00,1772233380,18.05,11.08,2,2,6,6,1,1,,,,,,8,5.5,4.5,1,,,,
2026-02-26,-2,-4.75,-4.65,-7.3,,-14,75,59.7,60.5,46,-10.5,-11.6,-11.9,-13.3,22,12.33,14.5,7,32,26,101.51,101.32,101.21,100.9,99.35,99.16,99.06,98.76,24100,24100,24100,24100,4.7,3.1,3.5,2.2,22.6,0,0,0,0,0,0,0,13,07:00:00,1772107200,7,18:02:00,1772146920,18.03,11.03,2,2,-1,-1,-6,-5,,,,,,7,4.6,4,1,,,,
2026-02-25,1.6,-1.48,-2.2,-6,,-13,92,76.4,76,60,-2.3,-5.2,-6.4,-10.5,43,22.04,26.5,10,58,27,100.82,99.97,100.23,99.64,98.68,97.85,98.11,97.53,24100,18275,13050,2000,4.9,3.1,3.6,2.3,20.2,0,0,0,0,0.8,0,0.8,13,07:01:00,1772020860,7.02,18:01:00,1772060460,18.02,11,1,2,1,1,-11,-10,,,,,,8,7.2,5.5,3,,,,
